Sr.No,County,County seat,Name origin,Development region,ISO code,Postal code,Area code,NUTS code,Population (2011),Area
1,Alba,Alba Iulia,Alba River,Center,AB,51,58,RO121,"3,42,376","6,242 km2 (2,410 sq mi)"
2,Arad,Arad,county seat,West,AR,31,57,RO421,"4,30,629","7,754 km2 (2,994 sq mi)"
3,Arges,Pitesti,Arges River,South-Muntenia,AG,11,48,RO311,"6,12,431","6,862 km2 (2,649 sq mi)"
4,Bacau,Bacau,county seat,North-East,BC,60,34,RO211,"6,16,168","6,621 km2 (2,556 sq mi)"
5,Bihor,Oradea,Biharia commune,North-West,BH,41,59,RO111,"5,75,398","7,544 km2 (2,913 sq mi)"
6,Bistrita-Nasaud,Bistrita,Bistrita River and Nasaud city,North-West,BN,42,63,RO112,"2,86,225","5,355 km2 (2,068 sq mi)"
7,Botosani,Botosani,county seat,North-East,BT,71,31,RO212,"4,12,626","4,986 km2 (1,925 sq mi)"
8,Brasov,Brasov,county seat,Center,BV,50,68,RO122,"5,49,217","5,363 km2 (2,071 sq mi)"
9,Braila,Braila,county seat,South-East,BR,81,39,RO221,"3,21,212","4,766 km2 (1,840 sq mi)"
10,Bucuresti,(Municipality of Bucharest),last name Bucur,Bucharest-Ilfov,B,01-Jun,1x,RO321,"18,83,425",228 km2 (88 sq mi)
11,Buzau,Buzau,Buzau River,South-East,BZ,12,38,RO222,"4,51,069","6,103 km2 (2,356 sq mi)"
12,Caras-Severin,Resita,defunct Caras and Severin Counties,West,CS,32,55,RO422,"2,95,579","8,514 km2 (3,287 sq mi)"
13,Calarasi,Calarasi,county seat,South-Muntenia,CL,91,42,RO312,"3,06,691","5,088 km2 (1,964 sq mi)"
14,Cluj,Cluj-Napoca,county seat,North-West,CJ,40,64,RO113,"6,91,106","6,674 km2 (2,577 sq mi)"
15,Constanta,Constanta,county seat,South-East,CT,90,41,RO223,"6,84,082","7,071 km2 (2,730 sq mi)"
16,Covasna,Sfantu Gheorghe,Covasna River,Center,CV,52,67,RO123,"2,10,177","3,710 km2 (1,430 sq mi)"
17,Dambovita,Targoviste,Dambovita River,South-Muntenia,DB,13,45,RO313,"5,18,745","4,054 km2 (1,565 sq mi)"
18,Dolj,Craiova,Jiu River,South-West Oltenia,DJ,20,51,RO411,"6,60,544","7,414 km2 (2,863 sq mi)"
19,Galati,Galati,county seat,South-East,GL,80,36,RO224,"5,36,167","4,466 km2 (1,724 sq mi)"
20,Giurgiu,Giurgiu,county seat,South-Muntenia,GR,8,46,RO314,"2,81,422","3,526 km2 (1,361 sq mi)"
21,Gorj,Targu Jiu,Jiu River,South-West Oltenia,GJ,21,53,RO412,"3,41,594","5,602 km2 (2,163 sq mi)"
22,Harghita,Miercurea Ciuc,Harghita Mountains,Center,HR,53,66,RO124,"3,10,867","6,639 km2 (2,563 sq mi)"
23,Hunedoara,Deva,Hunedoara city,West,HD,33,54,RO423,"4,18,565","7,063 km2 (2,727 sq mi)"
24,Ialomita,Slobozia,Ialomita River,South-Muntenia,IL,92,43,RO315,"2,74,148","4,453 km2 (1,719 sq mi)"
25,Iasi,Iasi,county seat,North-East,IS,70,32,RO213,"7,72,348","5,476 km2 (2,114 sq mi)"
26,Ilfov,Buftea,Ilfov River,Bucharest-Ilfov,IF,7,1x,RO322,"3,88,738","1,583 km2 (611 sq mi)"
27,Maramures,Baia Mare,Maramures historical region,North-West,MM,43,62,RO114,"4,78,659","6,304 km2 (2,434 sq mi)"
28,Mehedinti,Drobeta-Turnu Severin,Mehadia commune,South-West Oltenia,MH,22,52,RO413,"2,65,390","4,933 km2 (1,905 sq mi)"
29,Mures,Targu Mures,Mures River,Center,MS,54,65,RO125,"5,50,846","6,714 km2 (2,592 sq mi)"
30,Neamt,Piatra Neamt,Neamt River,North-East,NT,61,33,RO214,"4,70,766","5,896 km2 (2,276 sq mi)"
31,Olt,Slatina,Olt River,South-West Oltenia,OT,23,49,RO414,"4,36,400","5,498 km2 (2,123 sq mi)"
32,Prahova,Ploiesti,Prahova River,South-Muntenia,PH,10,44,RO316,"7,62,886","4,716 km2 (1,821 sq mi)"
33,Satu Mare,Satu Mare,county seat,North-West,SM,44,61,RO115,"3,44,360","4,418 km2 (1,706 sq mi)"
34,Salaj,Zalau,Salaj River,North-West,SJ,45,60,RO116,"2,24,384","3,864 km2 (1,492 sq mi)"
35,Sibiu,Sibiu,county seat,Center,SB,55,69,RO126,"3,97,322","5,432 km2 (2,097 sq mi)"
36,Suceava,Suceava,Suceava River,North-East,SV,72,30,RO215,"6,34,810","8,553 km2 (3,302 sq mi)"
37,Teleorman,Alexandria,Teleorman River,South-Muntenia,TR,14,47,RO317,"3,80,123","5,790 km2 (2,240 sq mi)"
38,Timis,Timisoara,Timis River,West,TM,30,56,RO424,"6,83,540","8,697 km2 (3,358 sq mi)"
39,Tulcea,Tulcea,county seat,South-East,TL,82,40,RO225,"2,13,083","8,499 km2 (3,281 sq mi)"
40,Vaslui,Vaslui,Vaslui River,North-East,VS,73,35,RO216,"3,95,499","5,318 km2 (2,053 sq mi)"
41,Valcea,Ramnicu Valcea,medieval county of Vilcea,South-West Oltenia,VL,24,50,RO415,"3,71,714","5,765 km2 (2,226 sq mi)"
42,Vrancea,Focsani,medieval county of Vrancha,South-East,VN,62,37,RO226,"3,40,310","4,857 km2 (1,875 sq mi)"
,,,,,,,,,,
For other more formats kindly visit www.downloadexcelfiles.com,,,,,,,,,,
,,,,,,,,,,
Original source : en.wikipedia.org/wiki/Counties_of_Romania,,,,,,,,,,
